Frequency,Avg. Median power,Absolute Uncertainty,Percentage Uncertaninty,Tokens/s,Absolute Uncertainty,Percentage Uncertianty,Tokens/s/W,Percentage Uncertainty,Absolute Uncertainty,,delta_freq_%,delta_perf_%,
855,178.33,0.98500,0.006,58.01,0.45736,0.008,0.3253,0.01,0.040,,-,-,
870,179.26,1.11250,0.006,58.92,0.43217,0.007,0.3287,0.01,0.004,,1.75%,1.58%,"Ideally, frequency∝performance"
885,180.52,0.85500,0.005,59.73,0.43973,0.007,0.3309,0.01,0.004,,1.72%,1.37%,
900,181.89,0.87500,0.005,60.58,0.42275,0.007,0.3331,0.01,0.004,,1.69%,1.43%,
915,183.04,1.28000,0.007,61.37,0.43823,0.007,0.3353,0.01,0.005,,1.67%,1.30%,
930,184.25,1.39000,0.008,62.17,0.46346,0.007,0.3374,0.01,0.005,,1.64%,1.31%,
945,185.55,1.45250,0.008,62.97,0.43951,0.007,0.3394,0.01,0.005,,1.61%,1.28%,
960,186.82,1.37750,0.007,63.75,0.45428,0.007,0.3412,0.01,0.005,,1.59%,1.24%,
975,188.02,1.36750,0.007,64.50,0.45768,0.007,0.3431,0.01,0.005,,1.56%,1.18%,
990,189.30,1.44000,0.008,65.22,0.43775,0.007,0.3445,0.01,0.005,,1.54%,1.11%,
1005,189.67,1.78500,0.009,65.62,1.00753,0.02,0.3460,0.02,0.009,,1.52%,0.62%,
1020,191.15,1.29500,0.007,67.02,0.01508,0.0002,0.3506,0.007,0.002,,1.49%,2.13%,
1035,192.24,1.44000,0.007,67.74,0.01303,0.0002,0.3524,0.008,0.003,,1.47%,1.08%,
1050,193.02,1.46000,0.008,68.42,0.00787,0.0001,0.3545,0.008,0.003,,1.45%,1.00%,
1065,193.90,1.52750,0.008,69.13,0.06004,0.0009,0.3565,0.009,0.003,,1.43%,1.03%,
1080,194.96,1.39000,0.007,69.58,0.34214,0.005,0.3569,0.01,0.004,,1.41%,0.65%,
1095,195.04,2.67500,0.01,70.19,0.47398,0.007,0.3599,0.02,0.007,,1.39%,0.89%,
1110,196.35,2.09500,0.01,70.83,0.45507,0.006,0.3607,0.02,0.006,,1.37%,0.90%,
1125,197.58,1.71250,0.009,71.43,0.41942,0.006,0.3615,0.01,0.005,,1.35%,0.86%,
1140,198.56,1.50000,0.008,72.02,0.44280,0.006,0.3627,0.01,0.005,,1.33%,0.82%,
1155,199.41,1.66500,0.008,72.61,0.45138,0.006,0.3642,0.01,0.005,,1.32%,0.82%,
1170,200.28,1.27500,0.006,73.22,0.43926,0.006,0.3656,0.01,0.005,,1.30%,0.84%,
1185,200.96,1.48750,0.007,73.81,0.45016,0.006,0.3673,0.01,0.005,,1.28%,0.81%,
1200,201.88,1.17000,0.006,74.36,0.43013,0.006,0.3683,0.01,0.004,,1.27%,0.74%,
1215,202.64,1.49250,0.007,74.90,0.43078,0.006,0.3697,0.01,0.005,,1.25%,0.73%,
1230,203.28,1.37000,0.007,75.38,0.43011,0.006,0.3708,0.01,0.005,,1.23%,0.64%,
1245,203.89,1.31500,0.006,75.94,0.43128,0.006,0.3724,0.01,0.005,,1.22%,0.74%,
1260,203.88,1.22500,0.006,76.27,0.43118,0.006,0.3741,0.01,0.004,,1.20%,0.44%,
1275,204.23,1.21500,0.006,76.67,0.42570,0.006,0.3754,0.01,0.004,,1.19%,0.52%,
1290,205.25,1.14000,0.006,77.12,0.37404,0.005,0.3757,0.01,0.004,,1.18%,0.59%,
1305,207.13,1.42750,0.007,77.58,0.40709,0.005,0.3745,0.01,0.005,,1.16%,0.59%,
1320,209.14,1.46500,0.007,78.05,0.44293,0.006,0.3732,0.01,0.005,,1.15%,0.61%,
1335,210.16,2.02500,0.01,78.39,0.50954,0.006,0.3730,0.02,0.006,,1.14%,0.45%,
1350,211.39,1.29750,0.006,78.83,0.42099,0.005,0.3729,0.01,0.004,,1.12%,0.56%,
1365,213.48,1.45500,0.007,79.25,0.46705,0.006,0.3712,0.01,0.005,,1.11%,0.53%,
1380,215.49,1.61500,0.007,79.69,0.45319,0.006,0.3698,0.01,0.005,,1.10%,0.55%,
1395,217.47,1.59000,0.007,80.04,0.45609,0.006,0.3680,0.01,0.005,,1.09%,0.44%,
1410,219.62,1.55500,0.007,80.53,0.41788,0.005,0.3667,0.01,0.004,,1.08%,0.62%,
1425,221.67,1.80000,0.008,80.99,0.45342,0.006,0.3654,0.01,0.005,,1.06%,0.57%,
1440,222.81,1.78000,0.008,81.34,0.51690,0.006,0.3651,0.01,0.005,,1.05%,0.43%,
1455,224.71,1.60000,0.007,81.75,0.43386,0.005,0.3638,0.01,0.005,,1.04%,0.50%,
1470,227.20,1.82000,0.008,82.23,0.39926,0.005,0.3619,0.01,0.005,,1.03%,0.58%,
1485,229.30,1.13250,0.005,82.64,0.38378,0.005,0.3604,0.01,0.003,,1.02%,0.51%,
1500,231.51,1.38500,0.006,83.05,0.40365,0.005,0.3587,0.01,0.004,,1.01%,0.49%,
1515,233.49,1.50250,0.006,83.25,0.46658,0.006,0.3565,0.01,0.004,,1.00%,0.24%,
1530,235.89,1.70000,0.007,83.61,0.42399,0.005,0.3545,0.01,0.004,,0.99%,0.44%,
1545,238.24,1.54000,0.006,83.97,0.43762,0.005,0.3525,0.01,0.004,,0.98%,0.43%,
1560,240.36,1.73000,0.007,84.25,0.40643,0.005,0.3505,0.01,0.004,,0.97%,0.33%,
1575,243.04,1.52500,0.006,84.52,0.41979,0.005,0.3478,0.01,0.004,,0.96%,0.33%,
1590,246.02,1.81500,0.007,84.83,0.41302,0.005,0.3448,0.01,0.004,,0.95%,0.37%,
1605,249.17,1.59750,0.006,85.04,0.40155,0.005,0.3413,0.01,0.004,,0.94%,0.24%,
1620,252.80,1.98000,0.008,85.36,0.42842,0.005,0.3377,0.01,0.004,,0.93%,0.38%,
1635,257.04,2.07750,0.008,85.64,0.45843,0.005,0.3332,0.01,0.004,,0.93%,0.33%,
