frequency_mhz,eval_tokens,eval_time_s,min_power_w,max_power_w,avg_power_w,median_power_w,energy_j
855,1024,17.552493006,122.63,178.96,176.89310344827587,178.39,3098.8983273339277
870,1024,17.285234669,123.55,180.15,178.04510489510488,179.58,3074.094431217908
885,1024,17.051953081,124.12,180.73,178.76695035460992,180.24,3044.5200268661965
900,1024,16.819522538,121.59,182.26,180.43438848920863,181.95,3026.0131561613075
915,1024,16.601433605,122.05,183.66,181.56671532846715,183.35,3004.7227138161657
930,1024,16.382760818,126.28,185.04,182.98362962962963,184.59,2987.4679444563385
945,1024,16.179540502,126.18,186.81,184.606992481203,186.28,2971.0124783039087
960,1024,15.981985253,124.3,188.17,185.98810606060607,187.685,2962.2162106537808
975,1024,15.796988359,137.96,189.13,187.43192307692308,188.74,2944.1051708769787
990,1024,15.641222332,127.96,190.51,188.16930232558138,190.1,2932.553337869645
1005,1024,15.443589763,136.4,191.67,189.56393700787402,190.94,2910.7315665137758
1020,1024,15.276499566,129.9,192.76,190.18333333333334,192.06,2900.584905638694
1035,1024,15.113387837,134.22,193.68,191.43472,193.19,2888.939198125601
1050,1024,14.964076248,129.5,194.21,191.88691056910568,193.91,2857.1585163426403
1065,1024,14.798279437,129.53,195.25,193.11860655737706,194.945,2853.941489092113
1080,1024,14.661816063,127.83,196.51,193.8013223140496,196.01,2831.4918161642554
1095,1024,14.520163015,130.16,197.49,194.78725,196.93,2822.461904090645
1110,1024,14.39961556,126.84,198.2,195.26672268907564,197.81,2814.7551900446415
1125,1024,14.276938715,130.67,199.7,196.72627118644067,199.005,2810.7479186451437
1140,1024,14.157629948,132.61,199.83,197.25837606837607,199.57,2785.3541166198247
1155,1024,14.054616464,133.24,201.31,198.46862068965518,200.73,2780.685025727749
1170,1024,13.938117227,134.5,201.82,198.8766956521739,201.17,2762.1546599960334
1185,1024,13.828208494,130.2,202.51,199.62640350877194,201.915,2755.650297067166
1200,1024,13.728176371,135.53,203.2,200.41407079646018,202.66,2743.7478963458543
1215,1024,13.625979605,136.16,203.97,201.39982142857144,203.70499999999998,2728.4972878837593
